brand,model,model_year,milage,fuel_type,engine,transmission,ext_col,int_col,accident,clean_title,price,HP,engine_size,n_cylinders
Ford,Utility Police Interceptor Base,2013,51000.0,E85 Flex Fuel,300.0HP 3.7L V6 Cylinder Engine Flex Fuel Capability,Automatic,Black,Black,At least 1 accident or damage reported,Yes,10300.0,300.0,3.7,6.0
Hyundai,Palisade SEL,2021,34742.0,Gasoline,3.8L V6 24V GDI DOHC,Automatic,Moonlight Cloud,Gray,At least 1 accident or damage reported,Yes,38005.0,,3.8,6.0
Lexus,RX 350 RX 350,2022,22372.0,Gasoline,3.5 Liter DOHC,Automatic,Blue,Black,,,54598.0,,3.5,
Infiniti,Q50 Hybrid Sport,2015,88900.0,Hybrid,354.0HP 3.5L V6 Cylinder Engine Gas/Electric Hybrid,Automatic,Black,Black,,Yes,15500.0,354.0,3.5,6.0
Audi,Q3 45 S line Premium Plus,2021,9835.0,Gasoline,2.0L I4 16V GDI DOHC Turbo,Automatic,Glacier White Metallic,Black,,,34999.0,,2.0,
Acura,ILX 2.4L,2016,136397.0,Gasoline,2.4 Liter,,Silver,Ebony.,,,14798.0,,2.4,
Audi,S3 2.0T Premium Plus,2017,84000.0,Gasoline,292.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Automatic,Blue,Black,,Yes,31000.0,292.0,2.0,4.0
Bmw,740 iL,2001,242000.0,Gasoline,282.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,Automatic,Green,Green,,Yes,7300.0,282.0,4.4,8.0
Lexus,RC 350 F Sport,2021,23436.0,Gasoline,311.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Automatic,Black,Black,,Yes,41927.0,311.0,3.5,6.0
Tesla,Model X Long Range Plus,2020,34000.0,,534.0HP Electric Motor Electric Fuel System,Automatic,Black,Black,,Yes,69950.0,534.0,,
Land,Rover Range Rover Sport 3.0 Supercharged HST,2021,27608.0,Gasoline,V6,Automatic,Fuji White,Pimento / Ebony,,,73897.0,,,6.0
Aston,Martin DBS Superleggera,2019,22770.0,Gasoline,715.0HP 5.2L 12 Cylinder Engine Gasoline Fuel,Automatic,Silver,Black,,Yes,184606.0,715.0,5.2,12.0
Toyota,Supra 3.0 Premium,2021,12500.0,Gasoline,382.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Automatic,Yellow,Black,,Yes,53500.0,382.0,3.0,6.0
Lincoln,Aviator Reserve AWD,2022,18196.0,Gasoline,400.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Dual Clutch,Black,Brown,,Yes,62000.0,400.0,3.0,6.0
Jaguar,F-TYPE,2020,15903.0,Gasoline,2.0 Liter Supercharged,Automatic,Silver,Black,,,47998.0,,2.0,
Land,Rover LR4 HSE,2013,79800.0,Gasoline,375.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,Automatic,White,Black,,Yes,29990.0,375.0,5.0,8.0
Mercedes-Benz,Metris Base,2021,1685.0,Gasoline,2.0L I4 16V GDI DOHC Turbo,Automatic,Gray,White,,Yes,250000.0,,2.0,
Dodge,Challenger SXT,2013,61074.0,Gasoline,305.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,Automatic,Black,Gray,,Yes,16800.0,305.0,3.6,6.0
Nissan,350Z Enthusiast,2003,74000.0,Gasoline,287.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Manual,Purple,–,,Yes,11000.0,287.0,3.5,6.0
Jaguar,F-TYPE R,2018,35250.0,Gasoline,550.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,Automatic,Green,Black,,Yes,68750.0,550.0,5.0,8.0
Genesis,GV70 3.5T Sport,2023,5400.0,Gasoline,375.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Automatic,Green,Beige,,,60000.0,375.0,3.5,6.0
Chevrolet,S-10 LS,2000,133510.0,E85 Flex Fuel,120.0HP 2.2L 4 Cylinder Engine Flex Fuel Capability,Automatic,Blue,Black,,Yes,4500.0,120.0,2.2,4.0
Bmw,440 Gran Coupe 440i xDrive,2020,25990.0,Gasoline,3.0 Liter Turbo,Automatic,White,Beige,,,38598.0,,3.0,
Ford,F-150 XLT,2023,2823.0,Gasoline,3.5L V6 24V PDI DOHC Twin Turbo,Automatic,Iconic Silver Metallic,Black,,Yes,58504.0,,3.5,6.0
Chevrolet,Suburban RST,2021,52000.0,Gasoline,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,Automatic,Blue,Black,,Yes,61000.0,355.0,5.3,8.0
Hyundai,Elantra N Base,2022,11650.0,Gasoline,276.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Dual Clutch,Black,Black,,Yes,32300.0,276.0,2.0,4.0
Nissan,Sentra SR,2016,96541.0,Gasoline,1.8 Liter,Automatic,Blue,Black,,,13998.0,,1.8,
Mercedes-Benz,AMG CLA 45 Base 4MATIC,2021,17500.0,Gasoline,382.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Automatic,Gray,Black,,Yes,59995.0,382.0,2.0,4.0
Bmw,650 Gran Coupe i xDrive,2015,69000.0,Gasoline,445.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,Automatic,Gray,Black,,Yes,25700.0,445.0,4.4,8.0
Audi,Q5 2.0T Premium Plus,2017,81880.0,E85 Flex Fuel,2.0L I4 16V GDI DOHC Turbo Flexible Fuel,Automatic,Mythos Black Metallic,Black,,Yes,21375.0,,2.0,
Mercedes-Benz,AMG C 43 Base 4MATIC,2018,28800.0,Gasoline,362.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Automatic,Silver,Black,,Yes,48000.0,362.0,3.0,6.0
Dodge,Ram 1500 Laramie Mega Cab,2006,300183.0,Gasoline,345.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,Automatic,Silver,Gray,At least 1 accident or damage reported,Yes,10900.0,345.0,5.7,8.0
Bmw,i3 120Ah w/Range Extender,2020,35035.0,Hybrid,120 AH,Automatic,Black,Black,,,24998.0,,,
Kia,Sorento SX,2011,171000.0,Gasoline,276.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Automatic,Black,Black,,Yes,5999.0,276.0,3.5,6.0
Lexus,LX 570 Base,2016,118700.0,Gasoline,383.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,Automatic,Black,Beige,,Yes,46900.0,383.0,5.7,8.0
Jeep,New Compass Trailhawk,2017,119000.0,Gasoline,180.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,Automatic,Red,Black,,Yes,15900.0,180.0,2.4,4.0
Bmw,340 i,2018,44261.0,Gasoline,3.0 Liter Turbo,Automatic,Gray,Black,,,33598.0,,3.0,
Audi,A4 2.0T Premium Plus quattro,2012,125575.0,Gasoline,211.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Automatic,Silver,Black,,Yes,8999.0,211.0,2.0,4.0
